iter	Passed	Remaining
612	1397	882
613	1399	879
614	1400	876
615	1401	873
616	1402	870
617	1403	867
618	1404	864
619	1407	862
620	1408	859
621	1409	856
622	1411	853
623	1412	851
624	1413	848
625	1415	845
626	1416	842
627	1417	839
628	1423	839
629	1425	836
630	1426	834
631	1427	831
632	1429	828
633	1430	825
634	1432	823
635	1433	820
636	1439	820
637	1440	817
638	1441	814
639	1442	811
640	1444	808
641	1445	806
642	1446	803
643	1448	800
644	1454	800
645	1455	797
646	1457	795
647	1463	794
648	1468	794
649	1470	791
650	1471	789
651	1473	786
652	1474	783
653	1475	780
654	1476	777
655	1478	775
656	1479	772
657	1486	772
658	1488	770
659	1490	767
660	1491	765
661	1492	762
662	1494	759
663	1495	756
664	1500	755
665	1502	753
666	1503	750
667	1504	747
668	1505	745
669	1507	742
670	1508	739
671	1509	736
672	1510	734
673	1516	733
674	1517	730
675	1518	727
676	1520	725
677	1522	722
678	1549	732
679	1550	729
680	1551	726
681	1552	724
682	1554	721
683	1555	718
684	1556	715
685	1558	713
686	1559	710
687	1561	708
688	1563	705
689	1564	702
690	1565	700
691	1567	697
692	1568	694
693	1570	692
694	1571	689
695	1572	686
696	1574	684
697	1576	681
698	1583	681
699	1584	679
700	1585	676
701	1593	676
702	1594	673
703	1595	670
704	1597	668
705	1598	665
706	1600	663
707	1601	660
708	1607	659
709	1608	656
710	1609	654
711	1610	651
712	1613	649
713	1614	646
714	1616	644
715	1617	641
716	1624	641
717	1625	638
718	1627	635
719	1630	634
720	1632	631
721	1633	628
722	1638	627
723	1641	625
724	1642	623
725	1644	620
726	1645	617
727	1646	615
728	1647	612
729	1648	609
730	1660	611
731	1661	608
732	1662	605
733	1664	603
734	1665	600
735	1676	601
736	1677	598
737	1680	596
738	1686	595
739	1688	593
740	1689	590
741	1690	587
742	1712	592
743	1719	591
744	1720	588
745	1721	586
746	1722	583
747	1724	580
748	1725	578
749	1726	575
750	1729	573
751	1733	571
752	1735	569
753	1736	566
754	1737	563
755	1738	561
756	1740	558
757	1741	555
758	1742	553
759	1744	550
760	1759	552
761	1760	549
762	1761	547
763	1763	544
764	1764	541
765	1765	539
766	1766	536
767	1768	534
768	1769	531
769	1770	528
770	1771	526
771	1775	524
772	1777	521
773	1778	519
774	1780	517
775	1782	514
776	1783	511
777	1785	509
778	1792	508
779	1794	506
780	1799	504
781	1800	501
782	1807	500
783	1808	498
784	1816	497
785	1820	495
786	1822	493
787	1824	490
788	1825	488
789	1827	485
790	1828	483
791	1830	480
792	1831	478
793	1832	475
794	1840	474
795	1842	472
796	1843	469
797	1844	466
798	1846	464
799	1848	462
800	1850	459
801	1851	457
802	1852	454
803	1853	451
804	1855	449
805	1856	446
806	1857	444
807	1865	443
808	1866	440
809	1867	438
810	1869	435
811	1870	433
812	1872	430
813	1873	428
814	1880	426
815	1882	424
816	1883	421
817	1885	419
818	1904	420
819	1905	418
820	1919	418
821	1920	415
822	1922	413
823	1926	411
824	1927	408
825	1929	406
826	1930	403
827	1931	401
828	1933	398
829	1934	396
830	1935	393
831	1937	391
832	1944	389
833	1945	387
834	1947	384
835	1948	382
836	1949	379
837	1950	377
838	1952	374
839	1953	372
840	1955	369
841	1956	367
842	1957	364
843	1959	362
844	1960	359
845	1961	357
846	1962	354
847	1964	352
848	1965	349
849	1966	347
850	1969	344
851	1971	342
852	1972	339
853	1973	337
854	1975	334
855	1976	332
856	1977	329
857	1978	327
858	1979	324
859	1980	322
860	1981	319
861	1982	317
862	1988	315
863	1989	313
864	1990	310
865	1992	308
866	1993	305
867	1994	303
868	1995	300
869	1996	298
870	1999	296
871	2001	293
872	2002	291
873	2003	288
874	2005	286
875	2006	284
876	2008	281
877	2009	279
878	2015	277
879	2016	274
880	2017	272
881	2019	270
882	2021	267
883	2022	265
884	2023	262
885	2023	260
886	2024	257
887	2031	256
888	2032	253
889	2033	251
890	2034	248
891	2035	246
892	2036	244
893	2037	241
894	2038	239
895	2039	236
896	2040	234
897	2042	231
898	2043	229
899	2045	227
900	2047	224
901	2066	224
902	2070	222
903	2072	220
904	2073	217
905	2075	215
906	2076	212
907	2077	210
908	2078	208
909	2079	205
910	2080	203
911	2081	200
912	2082	198
913	2087	196
914	2089	194
915	2090	191
916	2091	189
917	2092	186
918	2093	184
919	2094	182
920	2095	179
921	2096	177
922	2097	174
923	2098	172
924	2103	170
925	2104	168
926	2105	165
927	2106	163
928	2109	161
929	2110	158
930	2111	156
931	2113	154
932	2116	151
933	2118	149
934	2119	147
935	2120	145
936	2122	142
937	2124	140
938	2126	138
939	2127	135
940	2128	133
941	2135	131
942	2137	129
943	2138	126
944	2140	124
945	2141	122
946	2142	119
947	2143	117
948	2144	115
949	2147	113
950	2149	110
951	2150	108
952	2151	106
953	2153	103
954	2154	101
955	2155	99
956	2156	96
957	2157	94
958	2158	92
959	2159	89
960	2161	87
961	2163	85
962	2164	83
963	2165	80
964	2166	78
965	2167	76
966	2168	74
967	2169	71
968	2170	69
969	2171	67
970	2172	64
971	2176	62
972	2177	60
973	2178	58
974	2179	55
975	2180	53
976	2181	51
977	2182	49
978	2183	46
979	2184	44
980	2190	42
981	2191	40
982	2192	37
983	2194	35
